raw_model,canonical_model,category,capacity,mapping_status
Watch S9 (45mm GPS),Apple Watch S9 (45mm GPS),Apple Watch,,Auto-normalized
Watch SE 2022 (40mm GPS),Apple Watch SE 2022 (40mm GPS),Apple Watch,,Auto-normalized
Watch SE 2023 (40mm GPS),Apple Watch SE 2023 (40mm GPS),Apple Watch,,Auto-normalized
Watch S9 (41mm LTE),Apple Watch S9 (41mm LTE),Apple Watch,,Auto-normalized
iPad Gen 10th (Wi-fi 64GB),iPad Gen 10th 64GB Wifi,iPad,64GB,Auto-normalized
Watch Ultra ( 49mm),Apple Watch Ultra (49mm),Apple Watch,,Auto-normalized
Watch Ultra 2 ( 49mm),Apple Watch Ultra 2 (49mm),Apple Watch,,Auto-normalized
Watch SE 3 (40mm GPS),Apple Watch SE 3 (40mm GPS),Apple Watch,,Auto-normalized
Watch 9 (41mm LTE),Apple Watch S9 (41mm LTE),Apple Watch,,Auto-normalized
AirPods Pro Gen 2 (Lightning),AirPods Pro Gen 2 (Lightning),AirPods,,Mapped
Watch SE 2 (40mm GPS),Apple Watch SE 2 (40mm GPS),Apple Watch,,Auto-normalized
AirPods 3 (Lightning),AirPods 3 (Lightning),AirPods,,Mapped
Watch SE 3 (40mm GPS ),Apple Watch SE 3 (40mm GPS),Apple Watch,,Auto-normalized
AirPods 2,AirPods 2,AirPods,,Mapped
Watch Ultra 2 (49mm),Apple Watch Ultra 2 (49mm),Apple Watch,,Auto-normalized
Watch Ultra (49mm),Apple Watch Ultra (49mm),Apple Watch,,Auto-normalized
Watch S3 (38mm GPS),Apple Watch S3 (38mm GPS),Apple Watch,,Auto-normalized
Watch SE2 (40mm GPS),Apple Watch SE 2 (40mm GPS),Apple Watch,,Auto-normalized
AirPods Pro,AirPods Pro,AirPods,,Mapped
AirPods Pro 2,AirPods Pro 2,AirPods,,Mapped
AirPods 3,AirPods 3,AirPods,,Mapped
AirPods with charging case,AirPods with charging case,AirPods,,Mapped
iPhone 15 Pro Max 128Gb,iPhone 15 Pro Max 128GB,iPhone,128GB,Auto-normalized
iPhone 14 128GB,iPhone 14 128GB,iPhone,128GB,Mapped
MacBook Pro M3 14' 256Gb,MacBook Pro M3 14' 256GB,MacBook,256GB,Auto-normalized
MacBook Air M1 13' 256Gb,"MacBook Air 13"" M1 8/256GB",MacBook,256GB,Auto-normalized
MacBook Air M2 13' 256Gb,"MacBook Air 13"" M2 8/256GB",MacBook,256GB,Auto-normalized
MacBook Pro M2 14' 512Gb,MacBook Pro M2 14' 512GB,MacBook,512GB,Auto-normalized
MacBook Pro M2 14' 256Gb,MacBook Pro M2 14' 256GB,MacBook,256GB,Auto-normalized
iPhone 15 128GB,iPhone 15 128GB,iPhone,128GB,Mapped
iPhone 15 Plus 128GB,iPhone 15 Plus 128GB,iPhone,128GB,Mapped
iPhone 15 Pro 128GB,iPhone 15 Pro 128GB,iPhone,128GB,Mapped
iPhone 15 Pro Max 256GB,iPhone 15 Pro Max 256GB,iPhone,256GB,Mapped
"iPad Pro 11"" M2 128GB Wifi","iPad Pro 11"" M2 128GB Wifi",iPad,128GB,Mapped
iPad Air 5 M1 64GB Wifi,iPad Air 5 64GB Wifi,iPad,64GB,Auto-normalized
iPad Mini 6 64GB Wifi,iPad Mini 6 64GB Wifi,iPad,64GB,Mapped
iPad Gen 10th 64GB Wifi,iPad Gen 10th 64GB Wifi,iPad,64GB,Mapped
iPad Gen 9th 64GB Wifi,iPad Gen 9th 64GB Wifi,iPad,64GB,Mapped
AW SE 2023 (40mm GPS),Apple Watch SE 2023 (40mm GPS),Apple Watch,,Auto-normalized
AW SE 2023 (40mm LTE),Apple Watch SE 2023 (40mm LTE),Apple Watch,,Auto-normalized
AW SE 2023 (44mm GPS),Apple Watch SE 2023 (44mm GPS),Apple Watch,,Auto-normalized
AW SE 2023 (44mm LTE),Apple Watch SE 2023 (44mm LTE),Apple Watch,,Auto-normalized
AW S9 (41mm GPS),Apple Watch S9 (41mm GPS),Apple Watch,,Auto-normalized
AW S9 (41mm CEL),Apple Watch S9 (41mm CEL),Apple Watch,,Auto-normalized
AW S9 (45mm GPS),Apple Watch S9 (45mm GPS),Apple Watch,,Auto-normalized
AW S9 (45mm CEL),Apple Watch S9 (45mm CEL),Apple Watch,,Auto-normalized
AW Ultra 2 (49mm),Apple Watch Ultra 2 (49mm),Apple Watch,,Auto-normalized
AirPods Pro 2 - 2023 (C-Type),AirPods Pro 2 - 2023 (C-Type),AirPods,,Mapped
AirPods 3 with charging case,AirPods 3 with charging case,AirPods,,Mapped
AirPods 2 with charging case,AirPods 2 with charging case,AirPods,,Mapped
"MacBook Air 13"" M1 8/256Gb","MacBook Air 13"" M1 8/256GB",MacBook,256GB,Auto-normalized
"MacBook Air 13"" M2 8/256GB","MacBook Air 13"" M2 8/256GB",MacBook,256GB,Mapped
"MacBook Air 13"" M3 8/256GB","MacBook Air 13"" M3 8/256GB",MacBook,256GB,Mapped
"MacBook Air 15"" M3 8/256GB","MacBook Air 15"" M3 8/256GB",MacBook,256GB,Mapped
"MacBook Pro 14"" M3 8/512GB","MacBook Pro 14"" M3 8/512GB",MacBook,512GB,Mapped
iPhone 17 256GB,iPhone 17 256GB,iPhone,256GB,Mapped
iPhone Air 256G,iPhone Air 256GB,iPhone,256GB,Auto-normalized
iPhone 17 Pro 256GB,iPhone 17 Pro 256GB,iPhone,256GB,Mapped
iPhone 17 Pro Max 256GB,iPhone 17 Pro Max 256GB,iPhone,256GB,Mapped
iPhone 16e 128GB,iPhone 16e 128GB,iPhone,128GB,Mapped
iPhone 16 128GB,iPhone 16 128GB,iPhone,128GB,Mapped
iPhone 16 Plus 128GB,iPhone 16 Plus 128GB,iPhone,128GB,Mapped
iPhone 16 Pro 128GB,iPhone 16 Pro 128GB,iPhone,128GB,Mapped
iPhone 16 Pro Max 256GB,iPhone 16 Pro Max 256GB,iPhone,256GB,Mapped
iPad Mini 7 128GB Wifi,iPad Mini 7 128GB Wifi,iPad,128GB,Mapped
iPad Gen 11th 128GB Wifi,iPad Gen 11th 128GB Wifi,iPad,128GB,Mapped
"iPad Air M3 11"" 128 GB Wifi","iPad Air M3 11"" 128GB Wifi",iPad,128GB,Auto-normalized
"iPad Air M3 13"" 128 GB Wifi","iPad Air M3 13"" 128GB Wifi",iPad,128GB,Auto-normalized
"iPad Pro M4 11"" 256 GB Wifi","iPad Pro M4 11"" 256GB Wifi",iPad,256GB,Auto-normalized
"iPad Pro M4 13"" 256 GB Wifi","iPad Pro M4 13"" 256GB Wifi",iPad,256GB,Auto-normalized
iPad Pro M5 11” 256GB Wifi,"iPad Pro M5 11"" 256GB Wifi",iPad,256GB,Auto-normalized
iPad Pro M5 13” 256GB Wifi,"iPad Pro M5 13"" 256GB Wifi",iPad,256GB,Auto-normalized
AW SE 3 (40mm GPS),Apple Watch SE 3 (40mm GPS),Apple Watch,,Auto-normalized
AW SE 3 (40mm LTE),Apple Watch SE 3 (40mm LTE),Apple Watch,,Auto-normalized
AW SE 3 (44mm GPS),Apple Watch SE 3 (44mm GPS),Apple Watch,,Auto-normalized
AW SE 3 (44mm LTE),Apple Watch SE 3 (44mm LTE),Apple Watch,,Auto-normalized
AW S11 (42mm GPS),Apple Watch S11 (42mm GPS),Apple Watch,,Auto-normalized
AW S11 (42mm CEL),Apple Watch S11 (42mm CEL),Apple Watch,,Auto-normalized
AW S11 (46mm GPS),Apple Watch S11 (46mm GPS),Apple Watch,,Auto-normalized
AW S11 (46mm CEL),Apple Watch S11 (46mm CEL),Apple Watch,,Auto-normalized
AW Ultra 3 (49mm),Apple Watch Ultra 3 (49mm),Apple Watch,,Auto-normalized
AirPods 4 ANC,AirPods 4 ANC,AirPods,,Mapped
AirPods 4 with charging case,AirPods 4 with charging case,AirPods,,Mapped
AirPods Pro 3,AirPods Pro 3,AirPods,,Mapped
"MacBook Air 13"" M2 16/256GB","MacBook Air 13"" M2 16/256GB",MacBook,256GB,Mapped
"MacBook Air 13"" M4 16/256GB","MacBook Air 13"" M4 16/256GB",MacBook,256GB,Mapped
"MacBook Air 15"" M4 16/256GB","MacBook Air 15"" M4 16/256GB",MacBook,256GB,Mapped
"MacBook Pro 14"" M4 16/512GB","MacBook Pro 14"" M4 16/512GB",MacBook,512GB,Mapped
"MacBook Pro 14"" M5 16/512GB","MacBook Pro 14"" M5 16/512GB",MacBook,512GB,Mapped
"MacBook Pro 16"" M4 24/512GB","MacBook Pro 16"" M4 24/512GB",MacBook,512GB,Mapped
"iPad Air M2 11"" 128 GB Wifi","iPad Air M2 11"" 128GB Wifi",iPad,128GB,Auto-normalized
"iPad Air M2 13"" 128 GB Wifi","iPad Air M2 13"" 128GB Wifi",iPad,128GB,Auto-normalized
AW SE 2024 (40mm GPS),Apple Watch SE 2024 (40mm GPS),Apple Watch,,Auto-normalized
AW SE 2024 (40mm LTE),Apple Watch SE 2024 (40mm LTE),Apple Watch,,Auto-normalized
AW SE 2024 (44mm GPS),Apple Watch SE 2024 (44mm GPS),Apple Watch,,Auto-normalized
AW SE 2024 (44mm LTE),Apple Watch SE 2024 (44mm LTE),Apple Watch,,Auto-normalized
AW S10 (42mm GPS),Apple Watch S10 (42mm GPS),Apple Watch,,Auto-normalized
AW S10 (42mm CEL),Apple Watch S10 (42mm CEL),Apple Watch,,Auto-normalized
AW S10 (46mm GPS),Apple Watch S10 (46mm GPS),Apple Watch,,Auto-normalized
AW S10 (46mm CEL),Apple Watch S10 (46mm CEL),Apple Watch,,Auto-normalized
AW SE 2 (40mm GPS),Apple Watch SE 2 (40mm GPS),Apple Watch,,Auto-normalized
AW SE 2 (40mm LTE),Apple Watch SE 2 (40mm LTE),Apple Watch,,Auto-normalized
AW SE 2 (44mm GPS),Apple Watch SE 2 (44mm GPS),Apple Watch,,Auto-normalized
AW SE 2 (44mm LTE),Apple Watch SE 2 (44mm LTE),Apple Watch,,Auto-normalized
"MacBook Air 13"" M3 16/256GB","MacBook Air 13"" M3 16/256GB",MacBook,256GB,Mapped
"MacBook Air 15"" M3 16/256GB","MacBook Air 15"" M3 16/256GB",MacBook,256GB,Mapped
iPad Gen 9th 128GB Wifi,iPad Gen 9th 128GB Wifi,iPad,128GB,Mapped
"MacBook Pro 16"" M4 16/512GB","MacBook Pro 16"" M4 16/512GB",MacBook,512GB,Mapped
iPhone 17e 256GB,iPhone 17e 256GB,iPhone,256GB,Mapped
"MacBook Air 13"" M5 16/512GB","MacBook Air 13"" M5 16/512GB",MacBook,512GB,Mapped
MacBook NEO A18 Pro ( 8/256GB),MacBook NEO A18 Pro (8/256GB),MacBook,256GB,Auto-normalized
"iPad Air M4 11"" 128 GB Wifi","iPad Air M4 11"" 128GB Wifi",iPad,128GB,Auto-normalized
"iPad Air M4 13"" 128 GB Wifi","iPad Air M4 13"" 128GB Wifi",iPad,128GB,Auto-normalized
"MacBook Pro 16"" M5 Pro 24/1TB","MacBook Pro 16"" M5 Pro 24/1TB",MacBook,1TB,Mapped
"MacBook Air 15"" M5 16/512GB","MacBook Air 15"" M5 16/512GB",MacBook,512GB,Mapped
